title,url,sqm,rooms,state,elevator,price
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91004545/,84.0,3.0,second_hand,True,455000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/89444491/,143.0,3.0,second_hand,False,388000.0
Ático en venta en rambla del Poblenou,https://www.idealista.com/inmueble/90999937/,170.0,4.0,second_hand,True,625000.0
"Piso en venta en Passatge de Massaguer, Barcelona, 8",https://www.idealista.com/inmueble/84419868/,93.0,4.0,need_renovation,True,378000.0
Piso en venta en LLULL,https://www.idealista.com/inmueble/91267046/,60.0,2.0,second_hand,True,280000.0
Piso en venta en calle de Badajoz,https://www.idealista.com/inmueble/89662492/,143.0,3.0,second_hand,False,388000.0
Piso en venta en calle de la Ciutat de Granada,https://www.idealista.com/inmueble/88793241/,78.0,2.0,second_hand,False,340000.0
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/88489869/,104.0,4.0,second_hand,True,380000.0
Piso en venta en bilbao,https://www.idealista.com/inmueble/88013742/,145.0,3.0,second_hand,True,640000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91327060/,85.0,3.0,second_hand,True,395000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/87433067/,81.0,4.0,second_hand,True,435000.0
"Piso en venta en calle Perelló, 52",https://www.idealista.com/inmueble/91031977/,0.0,76.0,new,True,398000.0
"Piso en venta en calle Perelló, 52",https://www.idealista.com/inmueble/91031978/,0.0,63.0,new,True,360000.0
"Piso en venta en calle Perelló, 52",https://www.idealista.com/inmueble/91031983/,0.0,92.0,new,True,606000.0
"Piso en venta en calle Perelló, 52",https://www.idealista.com/inmueble/91031979/,0.0,92.0,new,True,690000.0
"Piso en venta en calle Perelló, 52",https://www.idealista.com/inmueble/91031920/,0.0,63.0,new,True,296000.0
"Piso en venta en calle Perelló, 52",https://www.idealista.com/inmueble/91031971/,0.0,88.0,new,True,650000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/88784366/,125.0,1.0,second_hand,False,600000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/88784362/,125.0,1.0,second_hand,False,650000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/39215745/,121.0,3.0,second_hand,True,565000.0
Piso en venta en calle de Marià Aguiló,https://www.idealista.com/inmueble/91255088/,142.0,3.0,second_hand,False,485000.0
"Piso en venta en calle de Pere IV, 177",https://www.idealista.com/inmueble/86957063/,80.0,2.0,second_hand,False,434000.0
Piso en venta en calle de Bac de Roda,https://www.idealista.com/inmueble/90490380/,117.0,3.0,second_hand,True,530000.0
"Piso en venta en masseguer, 2",https://www.idealista.com/inmueble/84421784/,99.0,4.0,need_renovation,True,378000.0
Piso en venta en calle de Bilbao,https://www.idealista.com/inmueble/84684404/,120.0,3.0,second_hand,True,640000.0
Dúplex en venta en Passatge de Pere Ripoll,https://www.idealista.com/inmueble/91286876/,80.0,2.0,second_hand,False,270000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/91251792/,74.0,2.0,second_hand,True,340000.0
Piso en venta en calle de Pujades,https://www.idealista.com/inmueble/91251743/,105.0,4.0,second_hand,True,400000.0
Piso en venta en calle de la Ciutat de Granada,https://www.idealista.com/inmueble/89687295/,80.0,1.0,second_hand,False,340000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/87030461/,124.0,3.0,second_hand,True,565000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/86292998/,125.0,5.0,second_hand,True,485000.0
