title,url,sqm,rooms,state,elevator,price
Piso en venta en santa magdalena sofia,https://www.idealista.com/inmueble/88481423/,94.0,2.0,second_hand,False,590000.0
Piso en venta en Santa Amelia,https://www.idealista.com/inmueble/90986300/,101.0,3.0,second_hand,True,590000.0
Piso en venta en d'Osi,https://www.idealista.com/inmueble/90990442/,126.0,4.0,second_hand,True,645000.0
Piso en venta en calle del Pedró de la Creu,https://www.idealista.com/inmueble/90985804/,61.0,2.0,need_renovation,False,345000.0
Piso en venta en calle de Graus,https://www.idealista.com/inmueble/90492905/,85.0,4.0,need_renovation,True,425000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/90976148/,110.0,4.0,need_renovation,True,450000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/90974717/,80.0,2.0,second_hand,False,380000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/90952604/,80.0,2.0,second_hand,True,415000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/91008682/,87.0,2.0,second_hand,True,510000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/91008661/,86.0,2.0,second_hand,True,495000.0
Piso en venta en manuel de falla,https://www.idealista.com/inmueble/91010739/,78.0,3.0,need_renovation,True,385000.0
Piso en venta en calle del Clos de Sant Francesc,https://www.idealista.com/inmueble/91004997/,73.0,2.0,second_hand,False,349000.0
Piso en venta en calle de Santa Amèlia,https://www.idealista.com/inmueble/91031280/,90.0,2.0,second_hand,True,575000.0
Dúplex en venta en Ossi,https://www.idealista.com/inmueble/91037339/,103.0,4.0,second_hand,True,645000.0
Piso en venta en calle d'Anglí,https://www.idealista.com/inmueble/91040043/,65.0,2.0,second_hand,False,290000.0
Dúplex en venta en osi,https://www.idealista.com/inmueble/91031902/,129.0,4.0,second_hand,True,645000.0
Piso en venta en calle del Cardenal Vives i Tutó,https://www.idealista.com/inmueble/91034871/,83.0,3.0,second_hand,True,400000.0
Piso en venta en sagrat cor,https://www.idealista.com/inmueble/91030555/,67.0,1.0,second_hand,True,360000.0
Piso en venta en calle osí,https://www.idealista.com/inmueble/91026900/,148.0,4.0,second_hand,True,645000.0
Piso en venta en calle d'Osi,https://www.idealista.com/inmueble/90536383/,126.0,4.0,second_hand,True,645000.0
